arm,seed,gen,ppf_pred,sigma,h_hist_pop,sens_novelty,composite,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
A_baseline,42,1,2.949528694152832,0.07690925896167755,1.7196721425001171,0.0,0.07690925896167755,2,3,1,6,1,3,5,1,3,5,1,1,2,5,4,5,7,3,6,1,3,1,1,1,4,5,4,4,1,3,1
A_baseline,42,1,3.0298092365264893,0.08024144917726517,1.7196721425001171,0.0,0.08024144917726517,1,1,1,2,8,8,1,4,3,5,1,6,1,1,3,5,6,5,9,4,1,1,4,3,1,4,4,5,1,5,1
A_baseline,42,1,2.9777159690856934,0.14730887115001678,1.7196721425001171,0.0,0.14730887115001678,6,3,3,6,3,4,4,5,1,1,8,9,1,4,5,1,1,1,4,1,1,1,3,1,6,1,7,4,5,1,5
A_baseline,42,1,3.828200340270996,0.08805373311042786,1.7196721425001171,0.0,0.08805373311042786,5,1,6,5,5,6,1,1,7,1,9,3,1,1,4,5,3,1,4,1,3,8,5,4,4,1,1,1,1,5,2
A_baseline,42,1,3.3224751949310303,0.0836760401725769,1.7196721425001171,0.0,0.0836760401725769,3,1,1,5,4,1,5,9,7,5,2,1,4,1,5,3,1,1,4,1,6,5,3,8,1,4,5,4,1,3,1
A_baseline,42,1,2.7620980739593506,0.07771943509578705,1.7196721425001171,0.0,0.07771943509578705,1,4,2,1,1,3,1,4,1,1,4,1,1,9,5,2,5,2,9,4,5,3,1,7,3,5,1,9,8,1,9
A_baseline,42,1,3.747283935546875,0.10073114186525345,1.7196721425001171,0.0,0.10073114186525345,2,1,3,1,1,4,1,8,6,1,4,4,4,4,1,4,1,1,3,1,3,5,3,1,4,5,7,1,1,8,1
A_baseline,42,1,2.380133867263794,0.07645697891712189,1.7196721425001171,0.0,0.07645697891712189,1,6,1,7,9,8,1,5,3,1,1,1,1,4,1,1,3,4,5,7,6,4,1,4,5,3,5,5,3,3,4
A_baseline,42,1,3.9495792388916016,0.09467244148254395,1.7196721425001171,0.0,0.09467244148254395,8,6,2,1,4,5,6,1,5,8,5,9,1,1,1,1,1,1,4,1,3,1,5,3,1,4,7,1,1,3,3
A_baseline,42,1,2.1056101322174072,0.07949546724557877,1.7196721425001171,0.0,0.07949546724557877,1,6,4,1,1,8,7,5,1,1,1,1,6,1,4,3,4,4,5,3,1,1,9,5,1,4,1,5,1,1,3
A_baseline,42,1,1.9875586032867432,0.0848621129989624,1.7196721425001171,0.0,0.0848621129989624,1,1,9,4,8,6,4,1,3,7,4,1,8,3,3,1,1,8,1,1,1,1,1,3,5,1,1,4,3,5,1
A_baseline,42,1,2.0450680255889893,0.08346104621887207,1.7196721425001171,0.0,0.08346104621887207,1,1,1,4,5,4,6,1,3,1,3,8,1,1,3,1,4,5,6,1,3,1,3,4,3,5,7,6,4,4,5
A_baseline,42,1,3.1952991485595703,0.0873078927397728,1.7196721425001171,0.0,0.0873078927397728,1,1,1,5,3,1,1,9,6,1,4,6,1,1,5,1,1,4,2,4,5,1,4,5,5,3,5,4,1,1,1
A_baseline,42,1,2.5599961280822754,0.08964024484157562,1.7196721425001171,0.0,0.08964024484157562,4,9,5,4,8,1,5,2,1,4,3,1,1,1,3,3,1,1,1,1,5,6,5,6,7,5,1,1,5,1,5
A_baseline,42,2,3.335315227508545,0.10568111389875412,1.7106829279663276,0.0,0.10568111389875412,1,3,5,4,1,1,1,1,2,7,4,4,1,1,5,1,7,4,1,1,1,7,4,1,1,1,5,4,3,1,9
A_baseline,42,2,2.286343574523926,0.09648098051548004,1.7106829279663276,0.0,0.09648098051548004,5,1,9,4,1,1,5,5,7,4,3,1,1,1,1,1,7,2,1,4,1,1,1,6,5,1,6,7,5,4,1
A_baseline,42,2,3.2867658138275146,0.08470924198627472,1.7106829279663276,0.0,0.08470924198627472,3,1,5,1,6,5,3,1,1,2,7,5,1,7,3,1,4,4,2,1,5,1,3,9,2,5,8,5,4,6,1
A_baseline,42,2,3.7793030738830566,0.1432785987854004,1.7106829279663276,0.0,0.1432785987854004,1,2,1,3,1,1,4,1,5,3,4,5,4,1,7,3,7,1,5,6,1,1,6,6,1,5,1,4,2,1,3
A_baseline,42,2,4.6585893630981445,0.18207372725009918,1.7106829279663276,0.0,0.18207372725009918,5,6,1,1,3,2,1,5,1,1,3,5,8,3,3,6,4,4,1,1,3,5,1,1,4,1,3,3,3,5,9
A_baseline,42,2,4.073263168334961,0.14847104251384735,1.7106829279663276,0.0,0.14847104251384735,1,5,4,7,1,1,1,3,7,1,4,4,3,7,1,4,1,3,1,6,1,1,4,3,1,1,3,1,4,1,9
A_baseline,42,2,2.951519727706909,0.0732852965593338,1.7106829279663276,0.0,0.0732852965593338,1,3,1,6,1,5,5,1,3,5,1,1,2,1,6,5,8,1,1,1,5,1,1,1,6,4,4,5,1,3,1
A_baseline,42,2,2.6230530738830566,0.10451281815767288,1.7106829279663276,0.0,0.10451281815767288,1,1,1,4,7,4,9,1,5,4,3,1,1,1,1,3,3,1,3,5,4,1,1,6,5,5,1,1,9,4,1
A_baseline,42,2,4.113211631774902,0.07521481812000275,1.7106829279663276,0.0,0.07521481812000275,1,1,5,1,4,1,1,1,2,6,1,1,1,1,4,3,1,2,1,3,6,4,5,4,1,1,8,1,1,9,1
A_baseline,42,2,2.1571760177612305,0.07115080952644348,1.7106829279663276,0.0,0.07115080952644348,3,3,1,4,1,6,8,4,4,1,1,1,5,1,4,1,4,7,1,1,1,1,4,1,5,5,4,6,8,1,7
A_baseline,42,2,2.427133560180664,0.07714802771806717,1.7106829279663276,0.0,0.07714802771806717,1,1,3,5,5,6,1,1,7,8,3,3,1,5,4,5,3,1,3,6,3,8,5,4,4,5,1,1,1,5,2
A_baseline,42,2,2.086409091949463,0.07321848720312119,1.7106829279663276,0.0,0.07321848720312119,4,1,3,1,2,4,4,6,1,4,1,1,3,1,3,1,8,1,1,1,1,1,3,3,1,4,9,5,4,5,3
A_baseline,42,2,2.3897604942321777,0.16853146255016327,1.7106829279663276,0.0,0.16853146255016327,5,1,4,4,1,3,1,5,8,4,4,3,1,1,5,5,4,1,3,6,6,1,1,4,3,8,3,1,1,1,9
A_baseline,42,2,2.023108720779419,0.07287026196718216,1.7106829279663276,0.0,0.07287026196718216,8,8,1,1,1,5,4,5,9,3,1,4,4,9,4,1,4,6,3,3,3,1,1,5,1,3,5,4,1,6,1
A_baseline,42,2,2.4274823665618896,0.0801546648144722,1.7106829279663276,0.0,0.0801546648144722,1,2,7,4,8,1,1,1,1,4,5,1,2,5,5,5,1,6,6,5,1,1,5,1,5,6,4,3,3,4,5
A_baseline,42,2,4.000158309936523,0.1435558795928955,1.7106829279663276,0.0,0.1435558795928955,2,1,1,4,1,4,1,8,6,1,4,4,9,4,1,4,4,1,1,1,3,5,3,1,4,5,7,1,1,8,1
A_baseline,42,2,3.3139307498931885,0.08307676017284393,1.7106829279663276,0.0,0.08307676017284393,1,1,9,4,4,1,5,1,5,1,7,1,1,3,4,1,5,4,4,8,1,1,5,1,3,1,1,3,1,1,4
A_baseline,42,2,4.352006912231445,0.11845486611127853,1.7106829279663276,0.0,0.11845486611127853,8,6,2,1,4,6,6,1,5,1,5,9,1,3,5,1,7,1,4,1,1,1,5,3,5,6,7,1,7,3,3
A_baseline,42,2,2.0573890209198,0.08288480341434479,1.7106829279663276,0.0,0.08288480341434479,1,1,4,1,4,3,1,1,3,4,8,3,4,1,4,4,8,4,3,5,1,1,7,6,8,2,3,5,5,1,9
A_baseline,42,2,1.983095407485962,0.07109599560499191,1.7106829279663276,0.0,0.07109599560499191,4,4,5,1,4,4,5,1,4,8,3,4,1,3,9,3,1,9,1,1,4,1,1,1,6,1,6,1,7,1,1
A_baseline,42,2,2.2385332584381104,0.08022906631231308,1.7106829279663276,0.0,0.08022906631231308,1,6,4,1,1,3,7,1,1,1,4,1,1,4,4,3,1,4,5,3,1,1,9,5,1,4,1,5,4,1,3
A_baseline,42,2,3.6116394996643066,0.09320949018001556,1.7106829279663276,0.0,0.09320949018001556,1,3,1,6,1,1,3,5,1,5,1,1,8,3,3,8,1,4,1,1,7,4,1,4,5,5,1,4,3,1,5
A_baseline,42,2,2.502974510192871,0.07604220509529114,1.7106829279663276,0.0,0.07604220509529114,1,9,3,4,4,3,5,2,1,4,6,1,1,1,4,3,1,1,1,3,5,6,5,6,5,1,1,1,5,1,5
A_baseline,42,2,2.137397050857544,0.07984211295843124,1.7106829279663276,0.0,0.07984211295843124,6,1,3,4,4,6,9,1,1,4,6,4,2,6,1,5,4,3,1,1,1,4,1,1,5,4,5,1,1,1,3
A_baseline,42,3,3.729795217514038,0.10267435759305954,1.7042956258890736,0.0,0.10267435759305954,3,3,2,4,4,1,1,1,2,5,1,4,7,1,3,1,9,4,1,3,1,7,4,1,5,1,5,5,1,1,9
A_baseline,42,3,2.5665194988250732,0.10444693267345428,1.7042956258890736,0.0,0.10444693267345428,5,1,1,4,4,6,5,5,7,4,1,1,1,1,5,1,7,2,1,4,1,1,1,6,1,5,6,7,5,4,1
A_baseline,137,1,2.411219358444214,0.07948357611894608,1.7254533941325783,0.0,0.07948357611894608,8,1,4,1,4,1,3,6,1,6,4,4,4,1,4,1,1,1,3,1,4,4,5,3,1,5,5,5,3,3,4
A_baseline,137,1,2.1969356536865234,0.09103550761938095,1.7254533941325783,0.0,0.09103550761938095,1,1,4,3,4,5,3,4,5,1,4,9,4,7,1,4,7,1,5,1,8,4,8,1,1,4,1,1,5,3,1
A_baseline,137,1,2.123641014099121,0.0851362869143486,1.7254533941325783,0.0,0.0851362869143486,3,1,9,3,4,1,4,1,8,3,1,4,1,1,1,5,9,1,1,1,3,6,3,4,4,1,3,1,8,1,4
A_baseline,137,1,3.237483501434326,0.08519761264324188,1.7254533941325783,0.0,0.08519761264324188,3,5,1,1,6,1,5,1,3,1,7,5,4,1,1,1,8,4,3,4,3,1,1,1,7,5,4,1,2,6,8
A_baseline,137,1,3.296612501144409,0.08061321824789047,1.7254533941325783,0.0,0.08061321824789047,3,5,6,6,5,5,1,1,4,1,1,9,7,1,2,3,4,4,3,1,1,1,1,1,5,1,4,3,1,4,1
A_baseline,137,1,4.219671249389648,0.1333458572626114,1.7254533941325783,0.0,0.1333458572626114,1,5,1,3,1,1,1,1,1,2,5,5,1,4,1,4,6,7,1,4,8,4,4,3,1,6,1,3,1,6,3
A_baseline,137,1,3.4546806812286377,0.09303069114685059,1.7254533941325783,0.0,0.09303069114685059,1,4,1,7,5,1,4,1,5,5,4,7,1,3,8,3,8,1,1,4,4,1,1,3,6,1,6,3,9,2,1
A_baseline,137,1,5.435302734375,0.2187349647283554,1.7254533941325783,0.0,0.2187349647283554,5,5,7,1,1,4,1,4,6,7,1,1,6,5,1,9,4,2,1,1,3,4,4,5,4,1,3,1,7,4,1
A_baseline,137,1,3.4163172245025635,0.08029424399137497,1.7254533941325783,0.0,0.08029424399137497,1,6,1,9,3,1,1,3,1,1,1,1,1,1,1,5,3,2,4,6,5,1,4,1,1,1,5,1,1,1,8
A_baseline,137,1,4.922224998474121,0.1472957879304886,1.7254533941325783,0.0,0.1472957879304886,1,5,5,1,5,4,1,8,6,3,1,9,5,1,1,3,1,1,1,9,4,1,6,5,1,4,1,4,1,5,7
A_baseline,137,1,4.381930828094482,0.19557629525661469,1.7254533941325783,0.0,0.19557629525661469,1,1,8,3,5,4,5,6,5,1,4,9,1,4,1,5,4,1,1,4,5,1,4,3,1,8,1,4,6,1,4
A_baseline,137,1,4.060814380645752,0.09170787781476974,1.7254533941325783,0.0,0.09170787781476974,1,6,1,4,1,1,1,9,1,5,1,8,2,1,5,6,4,6,3,5,3,1,4,1,1,5,1,1,1,3,1
A_baseline,137,1,2.4969732761383057,0.07984115928411484,1.7254533941325783,0.0,0.07984115928411484,1,1,4,1,6,5,5,4,1,5,9,5,4,3,4,1,5,1,1,6,1,8,1,3,2,1,6,7,1,7,1
A_baseline,137,1,2.3602190017700195,0.08208998292684555,1.7254533941325783,0.0,0.08208998292684555,1,4,1,3,1,1,1,4,5,7,1,1,1,1,6,5,4,1,5,6,9,1,8,3,1,1,5,9,6,3,3
A_baseline,137,1,2.030533790588379,0.07912308722734451,1.7254533941325783,0.0,0.07912308722734451,1,3,1,4,3,5,1,6,1,4,1,5,3,1,2,4,1,1,1,4,5,8,1,9,3,5,1,5,1,1,7
A_baseline,137,1,4.532718658447266,0.13844484090805054,1.7254533941325783,0.0,0.13844484090805054,5,1,1,6,4,1,4,7,6,5,5,4,6,3,1,1,4,3,2,3,1,1,8,1,7,4,1,5,1,5,1
A_baseline,137,1,4.00491189956665,0.11488492786884308,1.7254533941325783,0.0,0.11488492786884308,4,5,5,4,4,4,1,4,1,1,3,1,1,8,2,6,5,1,4,7,1,1,1,6,4,5,1,3,1,3,1
A_baseline,137,1,3.2691409587860107,0.0864325761795044,1.7254533941325783,0.0,0.0864325761795044,1,1,4,5,2,1,1,8,5,1,1,1,1,1,5,3,1,6,8,4,4,6,1,9,1,5,1,6,1,1,2
A_baseline,137,1,3.634998083114624,0.08033515512943268,1.7254533941325783,0.0,0.08033515512943268,4,5,1,1,1,1,3,1,3,1,6,3,4,7,5,5,3,4,1,4,4,5,3,1,4,4,6,1,1,9,1
A_baseline,137,1,4.132208347320557,0.11537111550569534,1.7254533941325783,0.0,0.11537111550569534,3,5,5,4,1,7,4,1,1,2,1,5,6,6,2,1,1,4,1,4,1,4,7,5,3,7,8,5,9,3,1
A_baseline,137,1,3.9332876205444336,0.12070772051811218,1.7254533941325783,0.0,0.12070772051811218,1,6,1,6,1,2,9,3,1,5,1,6,1,4,7,4,9,4,3,6,5,4,2,1,1,4,1,3,1,1,1
A_baseline,137,1,4.706772804260254,0.13862484693527222,1.7254533941325783,0.0,0.13862484693527222,5,1,6,1,4,4,3,6,6,4,1,4,3,1,4,1,7,4,1,1,1,8,1,3,1,2,1,4,1,5,1
A_baseline,137,1,3.317840576171875,0.08734627813100815,1.7254533941325783,0.0,0.08734627813100815,6,4,1,1,4,1,5,7,6,5,3,4,3,1,1,1,3,5,2,4,5,1,3,9,6,1,3,3,1,1,1
A_baseline,137,1,2.39064884185791,0.09569086134433746,1.7254533941325783,0.0,0.09569086134433746,8,1,1,5,4,1,4,5,6,9,1,1,7,3,1,3,9,6,1,1,4,5,3,4,1,7,3,4,1,4,4
A_baseline,137,2,3.8880221843719482,0.09844054281711578,1.7203000619773905,0.0,0.09844054281711578,1,3,5,4,4,1,1,5,5,6,1,1,4,6,1,2,8,6,4,1,3,5,1,3,5,1,1,5,1,4,1
A_baseline,137,2,3.3538668155670166,0.13113413751125336,1.7203000619773905,0.0,0.13113413751125336,3,5,6,7,8,3,5,2,3,4,3,5,3,1,1,1,8,4,4,4,3,1,1,1,4,6,4,1,2,6,8
A_baseline,137,2,4.228822708129883,0.13252493739128113,1.7203000619773905,0.0,0.13252493739128113,1,5,6,6,5,5,1,1,4,2,3,9,1,4,2,3,4,4,2,1,1,1,1,1,5,1,4,3,1,4,1
A_baseline,137,2,3.8585212230682373,0.10131726413965225,1.7203000619773905,0.0,0.10131726413965225,1,5,4,8,1,3,1,1,1,2,5,5,1,1,1,4,1,7,1,3,1,4,4,3,1,4,1,1,6,6,3
A_baseline,137,2,5.6320953369140625,0.24527834355831146,1.7203000619773905,0.0,0.24527834355831146,5,5,3,1,4,7,1,3,6,7,1,1,6,5,1,9,4,1,1,1,6,4,4,5,4,1,3,4,1,4,1
A_baseline,137,2,1.9711848497390747,0.08027321100234985,1.7203000619773905,0.0,0.08027321100234985,4,1,3,4,1,4,1,6,6,4,1,1,3,1,1,6,4,3,5,1,1,3,1,4,6,5,5,6,9,1,4
A_baseline,137,2,3.5444839000701904,0.10148194432258606,1.7203000619773905,0.0,0.10148194432258606,1,7,5,6,1,3,1,5,1,5,9,4,6,9,3,1,1,1,2,1,7,5,1,2,1,1,5,3,1,1,4
A_baseline,137,2,4.155044078826904,0.20688575506210327,1.7203000619773905,0.0,0.20688575506210327,1,5,1,4,5,4,1,9,6,3,1,9,4,1,1,3,4,4,1,9,4,1,6,5,1,4,1,2,1,5,7
A_baseline,137,2,3.6252613067626953,0.10488637536764145,1.7203000619773905,0.0,0.10488637536764145,8,1,4,3,5,1,5,6,5,3,5,9,1,4,5,5,4,1,4,1,5,1,4,3,1,4,1,1,5,1,4
A_baseline,137,2,4.9334564208984375,0.10153693705797195,1.7203000619773905,0.0,0.10153693705797195,1,6,5,4,5,1,1,9,1,5,3,8,2,1,5,6,1,4,3,4,3,1,4,1,1,1,1,1,9,3,1
A_baseline,137,2,2.4681038856506348,0.09589491784572601,1.7203000619773905,0.0,0.09589491784572601,1,4,1,3,8,1,1,4,5,8,4,1,1,1,3,5,4,1,5,1,5,1,8,3,4,5,5,9,3,3,3
A_baseline,137,2,3.696059465408325,0.11719786375761032,1.7203000619773905,0.0,0.11719786375761032,1,1,1,4,4,1,1,4,5,5,2,1,7,5,1,1,5,5,1,1,3,4,3,1,8,1,5,1,4,2,4
A_baseline,137,2,3.381450891494751,0.08478115499019623,1.7203000619773905,0.0,0.08478115499019623,1,5,1,3,1,1,1,4,1,4,1,5,5,4,5,3,1,4,4,3,4,8,6,3,4,5,4,7,1,1,5
A_baseline,137,2,2.217733383178711,0.08204079419374466,1.7203000619773905,0.0,0.08204079419374466,5,4,1,9,1,1,4,3,3,3,5,3,1,1,3,1,4,4,4,1,4,1,1,3,2,1,8,1,1,3,1
A_baseline,137,2,4.031126499176025,0.13997651636600494,1.7203000619773905,0.0,0.13997651636600494,6,5,8,6,4,4,3,6,1,4,5,5,1,1,1,1,9,7,3,3,1,3,4,1,3,9,1,1,9,1,1
A_baseline,137,2,3.6971559524536133,0.09605862945318222,1.7203000619773905,0.0,0.09605862945318222,1,5,3,4,4,5,1,3,1,1,3,1,6,8,2,6,5,1,4,7,4,1,1,6,4,5,1,3,1,3,1
A_baseline,137,2,4.242187976837158,0.12848882377147675,1.7203000619773905,0.0,0.12848882377147675,8,5,1,1,1,1,3,4,3,5,6,3,4,3,5,5,3,3,1,5,1,5,3,1,4,4,6,1,1,9,1
A_baseline,137,2,2.955850124359131,0.10023397952318192,1.7203000619773905,0.0,0.10023397952318192,3,5,3,4,4,7,4,3,1,6,6,5,6,6,2,1,6,1,1,3,3,4,7,5,1,3,8,5,9,3,1
A_baseline,137,2,2.974290132522583,0.0870312750339508,1.7203000619773905,0.0,0.0870312750339508,8,6,1,5,6,1,4,6,7,1,1,4,1,2,1,1,1,1,3,4,1,5,2,4,1,7,9,7,1,1,4
A_baseline,137,2,3.0116195678710938,0.08893147110939026,1.7203000619773905,0.0,0.08893147110939026,4,1,6,1,5,1,3,6,6,4,3,4,3,4,4,1,4,4,1,5,4,8,1,3,1,2,1,4,1,5,1
A_baseline,137,2,2.1563596725463867,0.08512919396162033,1.7203000619773905,0.0,0.08512919396162033,8,4,1,9,4,1,5,7,6,3,5,4,3,3,1,1,4,1,6,4,5,1,3,9,6,1,3,1,2,1,1
A_baseline,137,2,3.193652868270874,0.08233476430177689,1.7203000619773905,0.0,0.08233476430177689,6,5,5,3,6,1,1,1,4,3,1,5,6,5,6,3,3,3,1,2,1,7,4,1,1,8,4,4,6,1,1
A_baseline,137,2,2.737685441970825,0.093991219997406,1.7203000619773905,0.0,0.093991219997406,3,1,4,7,3,1,2,2,5,1,8,4,4,2,1,1,1,1,1,1,1,1,5,6,3,4,9,3,5,1,1
A_baseline,137,2,3.305123805999756,0.09203757345676422,1.7203000619773905,0.0,0.09203757345676422,1,5,4,4,1,1,1,1,1,1,4,4,1,1,1,4,8,2,7,4,5,3,1,1,1,4,5,2,9,4,1
A_baseline,137,3,3.180506706237793,0.13157211244106293,1.6905238212476903,0.0,0.13157211244106293,1,1,4,3,4,5,3,2,5,1,4,9,4,4,1,4,8,5,1,1,6,4,8,1,1,5,1,1,5,3,1
A_baseline,137,3,2.3717024326324463,0.07632807642221451,1.6905238212476903,0.0,0.07632807642221451,3,5,1,7,9,3,5,2,3,4,3,5,3,6,1,1,3,5,4,1,3,1,1,1,4,6,4,4,9,6,8
A_baseline,271,1,3.272326707839966,0.09151419252157211,1.7313107864389532,0.0,0.09151419252157211,1,3,5,9,5,1,6,4,6,1,2,4,3,1,6,1,1,5,1,5,2,1,4,1,4,5,1,1,5,8,2
A_baseline,271,1,3.0003440380096436,0.0911644920706749,1.7313107864389532,0.0,0.0911644920706749,5,1,1,1,3,4,1,1,4,5,9,3,5,7,1,3,4,1,8,1,1,4,1,1,6,1,6,1,3,1,5
A_baseline,271,1,3.9803502559661865,0.1312345266342163,1.7313107864389532,0.0,0.1312345266342163,3,6,6,3,1,1,1,1,5,4,1,1,3,1,4,3,1,4,9,5,2,4,7,5,5,6,1,8,1,4,6
A_baseline,271,1,2.7191998958587646,0.079863041639328,1.7313107864389532,0.0,0.079863041639328,5,4,5,1,4,3,7,5,6,1,4,9,3,5,1,1,3,4,8,1,6,4,6,5,4,1,4,5,1,1,1
A_baseline,271,1,3.412295341491699,0.09454918652772903,1.7313107864389532,0.0,0.09454918652772903,1,5,1,3,1,5,4,1,1,3,1,1,1,3,1,4,3,1,1,4,1,9,5,1,4,4,1,1,6,3,6
A_baseline,271,1,2.0788800716400146,0.0920308530330658,1.7313107864389532,0.0,0.0920308530330658,6,4,4,1,3,1,5,7,6,1,4,4,3,1,1,1,4,5,6,4,5,1,3,9,1,6,3,2,1,1,1
A_baseline,271,1,2.279078960418701,0.0798143669962883,1.7313107864389532,0.0,0.0798143669962883,5,8,9,1,5,1,3,4,3,9,6,4,1,6,3,3,6,4,1,5,3,4,4,1,1,6,1,1,1,5,1
A_baseline,271,1,3.5308263301849365,0.097022145986557,1.7313107864389532,0.0,0.097022145986557,1,4,3,1,3,1,1,1,5,5,8,1,1,4,1,5,4,4,3,5,4,6,7,1,1,1,2,5,2,4,1
A_baseline,271,1,3.4338746070861816,0.08777443319559097,1.7313107864389532,0.0,0.08777443319559097,1,1,4,1,1,5,9,4,5,1,1,1,1,2,1,2,1,8,3,4,6,7,4,3,1,1,6,1,4,4,3
A_baseline,271,1,4.0661797523498535,0.08950122445821762,1.7313107864389532,0.0,0.08950122445821762,4,5,5,4,4,1,4,1,1,6,1,3,5,7,1,3,1,1,1,6,6,4,1,5,4,4,3,1,7,4,1
A_baseline,271,1,5.721902847290039,0.23922720551490784,1.7313107864389532,0.0,0.23922720551490784,5,5,1,3,8,1,5,4,2,4,4,7,8,2,1,4,5,1,4,3,1,1,3,1,6,4,1,3,1,1,1
A_baseline,271,1,4.430486679077148,0.19377543032169342,1.7313107864389532,0.0,0.19377543032169342,1,6,4,3,1,1,6,5,2,5,1,7,1,1,5,4,4,6,1,4,4,3,1,1,1,1,4,2,5,1,1
A_baseline,271,1,6.029508113861084,0.21094255149364471,1.7313107864389532,0.0,0.21094255149364471,5,5,4,6,5,3,3,1,2,5,1,3,4,1,3,3,1,8,1,1,9,1,6,4,1,5,4,1,7,4,1
A_baseline,271,1,2.5678822994232178,0.12611138820648193,1.7313107864389532,0.0,0.12611138820648193,8,1,9,1,1,1,1,2,5,2,1,1,5,5,6,2,4,3,1,5,7,4,5,5,6,3,1,6,4,1,9
A_baseline,271,1,3.1133270263671875,0.09694564342498779,1.7313107864389532,0.0,0.09694564342498779,1,5,1,4,4,8,6,6,3,1,1,3,5,4,9,1,1,4,1,5,5,4,1,5,1,1,1,1,5,3,7
A_baseline,271,1,6.636334419250488,0.2414228320121765,1.7313107864389532,0.0,0.2414228320121765,1,5,5,3,4,4,3,4,5,4,6,4,4,1,1,5,4,1,3,4,7,3,1,3,1,4,5,3,4,8,7
A_baseline,271,1,3.7508535385131836,0.07812996208667755,1.7313107864389532,0.0,0.07812996208667755,6,1,5,4,3,5,4,1,1,2,1,3,5,3,1,6,1,1,9,4,3,1,1,4,1,3,7,5,8,5,1
A_baseline,271,1,3.2986032962799072,0.09234503656625748,1.7313107864389532,0.0,0.09234503656625748,7,6,4,3,8,5,8,7,6,5,1,5,1,1,6,3,7,1,1,6,4,4,1,4,4,1,2,1,4,3,3
A_baseline,271,1,2.5382533073425293,0.08157239854335785,1.7313107864389532,0.0,0.08157239854335785,1,2,4,3,1,9,1,1,4,1,3,1,4,7,7,6,1,1,1,3,5,1,5,1,1,5,1,4,3,5,4
A_baseline,271,1,2.026756763458252,0.0925566777586937,1.7313107864389532,0.0,0.0925566777586937,3,3,1,1,3,1,6,3,1,9,4,1,7,5,4,4,4,1,8,3,5,6,1,2,5,4,4,8,4,1,1
A_baseline,271,1,3.934157609939575,0.09725532680749893,1.7313107864389532,0.0,0.09725532680749893,1,5,4,1,7,9,4,6,1,3,5,4,3,1,1,7,1,1,1,3,1,5,1,4,4,4,1,9,3,5,5
A_baseline,271,1,2.423318862915039,0.09331624954938889,1.7313107864389532,0.0,0.09331624954938889,1,1,1,9,1,1,4,5,1,9,3,1,1,1,5,5,1,1,3,3,4,3,8,1,4,4,3,1,6,7,5
